,t,survival_rate,expected_benefit,net_single_premium
208,208,2.1347551918717564,401.4710115104857,49598.89105816721
209,209,2.1283509262961418,400.2665984759543,49443.40714689001
210,210,2.1219658735172526,399.0657986805264,49288.35625115612
211,211,2.1155999758967012,397.86860128448495,49133.73690473796
212,212,2.109253175969011,396.67499548063154,48979.54764497074
213,213,2.102925416441104,395.4849704941896,48825.78701273756
214,214,2.096616640191781,394.29851558270707,48672.45355245458
215,215,2.0903267902712055,393.11562003595884,48519.54581205623
216,216,2.084055809900392,391.936273175851,48367.06234298037
217,217,2.0778036424706907,390.7604643563235,48215.00170015353
218,218,2.0715702315432782,389.58818296325455,48063.36244197619
219,219,2.065355520848649,388.4194184143648,47912.143130308
220,220,2.059159454286103,387.2541601591217,47761.34233045309
221,221,2.052981975923245,386.0923976786444,47610.958611145434
222,222,2.0468230299954753,384.93412048560845,47460.990544534114
223,223,2.0406825609054886,383.77931812415164,47311.43670616875
224,224,2.0345605132227726,382.6279801697792,47162.29567498481
225,225,2.0284568316831044,381.48009622927,47013.5660332891
226,226,2.022371461188055,380.3356559405821,46865.24636674512
227,227,2.0163043468044908,379.1946489727602,46717.33526435857
228,228,2.0102554337640774,378.05706502584195,46569.831318462726
229,229,2.0042246674627853,376.9228938307645,46422.73312470407
230,230,1.9982119934603968,375.79212514927224,46276.03928202766
231,231,1.992217357480016,374.66474877382444,46129.748392662776
232,232,1.9862407054075757,373.54075452750294,45983.8590621084
233,233,1.9802819832913527,372.42013226392044,45838.36989911879
234,234,1.9743411373414792,371.30287186712866,45693.27951568914
235,235,1.9684181139294543,370.1889632515273,45548.586527041116
236,236,1.9625128595876664,369.0783963617728,45404.28955160853
237,237,1.9566253210089033,367.9711611726874,45260.387211022986
238,238,1.9507554450458768,366.8672476891694,45116.87813009955
239,239,1.9449031787107391,365.7666459461019,44973.76093682242
240,240,1.9390684691746067,364.6693460082636,44831.03426233069
241,241,1.933251263767083,363.57533797023876,44688.69674090402
242,242,1.9274515099757816,362.4846119563281,44546.74700994846
243,243,1.9216691554458545,361.39715812045904,44405.183709982084
244,244,1.9159041479795167,360.3129666460977,44264.00548462094
245,245,1.9101564355355785,359.23202774615936,44123.2109805647
246,246,1.9044259662289715,358.1543316629209,43982.79884758264
247,247,1.8987126883302847,357.07986866793215,43842.767738499315
248,248,1.8930165502652936,356.00862906192845,43703.116309180536
249,249,1.8873375006144977,354.9406031747426,43563.84321851919
250,250,1.8816754881126545,353.87578136521836,43424.947128421176
251,251,1.8760304616483163,352.8141540211227,43286.42670379122
252,252,1.8704023702633712,351.75571155905936,43148.280612518945
253,253,1.8647911631525815,350.7004444243821,43010.50752546469
254,254,1.8591967896631236,349.6483430911089,42873.106116445495
255,255,1.8536191992941344,348.5993980618357,42736.075062221156
256,256,1.848058341696252,347.5535998676502,42599.41304248011
257,257,1.8425141666711629,346.51093906804715,42463.11873982551
258,258,1.8369866241711497,345.4714062508431,42327.19083976125
259,259,1.831475664298636,344.4349920320906,42191.62803067795
260,260,1.82598123730574,343.4016870559943,42056.42900383909
261,261,1.8205032935938232,342.37148199482635,41921.59245336702
262,262,1.8150417837130417,341.34436754884183,41787.11707622904
263,263,1.8095966583619023,340.32033444619526,41653.0015722236
264,264,1.8041678683868168,339.2993734428567,41519.244643966274
265,265,1.798755364781656,338.2814753225281,41385.84499687603
266,266,1.7933590986873111,337.26663089656057,41252.80133916128
267,267,1.7879790213912492,336.2548310038709,41120.11238180603
268,268,1.7826150843270754,335.24606651085924,40987.776838556165
269,269,1.7772672390740942,334.2403283113266,40855.79342590553
270,270,1.7719354373568719,333.23760732639266,40724.16086308217
271,271,1.7666196310448012,332.2378945044135,40592.87787203455
272,272,1.761319772151667,331.24118082090024,40461.943177417794
273,273,1.7560358128352118,330.24745727843754,40331.35550657987
274,274,1.7507677053967061,329.2567149066022,40201.11358954794
275,275,1.745515402280516,328.2689447618824,40071.21615901454
276,276,1.7402788560736744,327.2841379275967,39941.66195032392
277,277,1.7350580195054535,326.302285513814,39812.4497014583
278,278,1.729852845446937,325.3233786572725,39683.578153024195
279,279,1.7246632869105962,324.3474085213007,39555.04604823876
280,280,1.7194892970498645,323.3743662957368,39426.85213291604
281,281,1.714330829158715,322.40424319684956,39298.995155453405
282,282,1.7091878366712387,321.4370304672591,39171.47386681783
283,283,1.704060273161225,320.47271937585725,39044.28702053233
284,284,1.6989480923417415,319.51130121772974,38917.43337266224
285,285,1.6938512480647163,318.5527673140765,38790.911681801736
286,286,1.6887696943205222,317.5971090121343,38664.720709060086
287,287,1.6837033852375607,316.6443176850979,38538.859218048194
288,288,1.678652275081848,315.69438473204264,38413.3259748649
289,289,1.6736163182566024,314.74730157784654,38288.11974808352
290,290,1.6685954693018326,313.80305967311295,38163.23930873819
291,291,1.663589682893927,312.86165049409357,38038.68343031041
292,292,1.6585989138452453,311.9230655426113,37914.45088871539
293,293,1.6536231171037095,310.9872963459835,37790.540462288634
294,294,1.6486622477523982,310.0543344569455,37666.95093177237
295,295,1.643716261009141,309.12417145357466,37543.681080302
296,296,1.6387851122261134,308.1967989392139,37420.729693392655
297,297,1.633868756889435,307.2722085423963,37298.09555892571
298,298,1.6289671506187666,306.35039191676907,37175.77746713522
299,299,1.6240802491669104,305.43134074101874,37053.77421059455
300,300,1.6192080084194096,304.5150467187957,36932.08458420279
301,301,1.6143503843941513,303.60150157863933,36810.70738517141
302,302,1.6095073332409688,302.6906970739034,36689.64141301073
303,303,1.604678811241246,301.7826249826817,36568.88546951651
304,304,1.5998647748075223,300.8772771077337,36448.43835875648
305,305,1.5950651804830998,299.97464527641046,36328.298887057
306,306,1.5902799849416505,299.0747213405812,36208.465862989484
